Date,Close,High,Low,Open,Volume
2020-01-02,72.33389282226562,72.39410082239243,71.09119881769524,71.34406947838406,135480400
2020-01-03,71.63063049316406,72.3892495107853,71.40665858931894,71.56319785492231,146322800
2020-01-06,72.20140838623047,72.23994237629597,70.50354624985978,70.75401351048198,118387200
2020-01-07,71.8618392944336,72.4663224088167,71.64268136784916,72.211041164577,108872000
2020-01-08,73.017822265625,73.31886213203573,71.56560624404386,71.56560624404386,132079200
2020-01-09,74.56879425048828,74.76145686133366,73.74274246581768,73.99320238999518,170108400
2020-01-10,74.73736572265625,75.30091887725054,74.23643856809193,74.80239504412852,140644800
2020-01-13,76.33409118652344,76.36058652225458,74.93485817482635,75.05287082554342,121532000
2020-01-14,75.30332946777344,76.48100118582082,75.18051017572739,76.27147857331117,161954400
2020-01-15,74.98063659667969,75.98249863335472,74.54954524384856,75.10346327281154,121923600
2020-01-16,75.91986846923828,76.03065646802948,75.16124922768141,75.52249718552835,108829200
2020-01-17,76.7603530883789,76.76275640961391,75.86204746774389,76.16790133072386,137816400
2020-01-21,76.24015808105469,76.83019183971173,76.1028821310267,76.38947268651397,110843200
2020-01-22,76.51231384277344,77.06381371935198,76.41838585398544,76.72423978617735,101832400
2020-01-23,76.88077545166016,76.96024675038308,76.01859307367198,76.56528622859716,104472000
2020-01-24,76.65919494628906,77.86816833505755,76.4689357036674,77.1264093803084,146537600
2020-01-27,74.405029296875,75.08416976822737,73.42484155700832,74.67234921705278,161940000
2020-01-28,76.5098876953125,76.68087628820244,75.18531223152581,75.28405419350632,162234000
2020-01-29,78.1114273071289,78.95674973344263,77.39856685210137,78.13792264122904,216229200
2020-01-30,77.99823760986328,78.05122092954578,76.76517927864235,77.19627050016777,126743200
2020-01-31,74.53988647460938,77.71163859900423,74.24607125177067,77.29018275843434,199588400
2020-02-03,74.33518981933594,75.4984048922783,72.78423148900761,73.28515870612867,173788400
2020-02-04,76.78927612304688,76.97953543976107,75.53213292898627,75.9367288800473,136616400
2020-02-05,77.4154281616211,78.21258127557842,76.81334832632962,77.91394467954083,118826800
2020-02-06,78.3209457397461,78.32335641079244,77.12883215929374,77.68515330009288,105425600
2020-02-07,77.25636291503906,78.06989154294402,76.76631409771366,77.82124622907054,117684000
2020-02-10,77.62329864501953,77.62329864501953,75.7644959675757,75.84415588740227,109348800
2020-02-11,77.15496826171875,78.19059132825674,76.93770658748598,78.11817322586252,94323200
2020-02-12,78.98723602294922,78.99206144129231,77.60399117788235,77.60399117788235,113730400
2020-02-13,78.42476654052734,78.75066279160559,78.0578358133656,78.26061390209061,94747600
2020-02-14,78.44406127929688,78.69270656111114,77.93711251400148,78.3933612458328,80113600
2020-02-18,77.0077133178711,77.1887659353896,75.94794846047884,76.12900107799734,152531200
2020-02-19,78.12300872802734,78.35234502696264,77.24912913343354,77.24912913343354,93984000
2020-02-20,77.321533203125,78.3716398349872,76.81700080414447,77.88400744802773,100566000
2020-02-21,75.57136535644531,77.35775721221363,74.95578935685651,76.91598466630131,129554000
